season,week,date,game_id,metric,home_team,away_team,high_rp_team,low_rp_team,high_rp_side,high_rp_role,high_rp_value,low_rp_value,high_rp_pctile,low_rp_pctile,high_rp_spread,high_rp_ats_margin,high_rp_ats_result,home_spread,total_line
2025,4,2025-09-20T16:00:00.000Z,401754537,overall,Clemson,Syracuse,Clemson,Syracuse,home,Favorite,0.826,0.143,0.8582089552238806,0.09701492537313433,-17.5,-30.5,L,-17.5,53.833333333333336
2025,4,2025-09-20T16:45:00.000Z,401752715,overall,Tennessee,UAB,UAB,Tennessee,away,Underdog,0.727,0.221,0.7611940298507462,0.19402985074626866,39.0,7.0,W,-39.0,68.83333333333333
2025,4,2025-09-20T20:00:00.000Z,401754538,overall,Duke,NC State,NC State,Duke,away,Underdog,0.948,0.179,0.9104477611940298,0.1417910447761194,3.1666666666666665,-8.833333333333334,L,-3.1666666666666665,57.333333333333336
2025,4,2025-09-20T23:00:00.000Z,401761611,overall,South Alabama,Coastal Carolina,Coastal Carolina,South Alabama,away,Underdog,0.969,0.254,0.9253731343283582,0.2462686567164179,14.666666666666666,32.666666666666664,W,-14.666666666666666,51.833333333333336
2025,4,2025-09-21T02:15:00.000Z,401756897,overall,Colorado,Wyoming,Wyoming,Colorado,away,Underdog,0.774,0.073,0.8059701492537313,0.007462686567164179,12.333333333333334,-4.666666666666666,L,-12.333333333333334,45.666666666666664
2025,4,2025-09-21T02:30:00.000Z,401754540,overall,San Diego State,California,San Diego State,California,home,Underdog,0.803,0.225,0.835820895522388,0.20149253731343283,13.833333333333334,47.833333333333336,W,13.833333333333334,46.666666666666664
2023,1,2023-08-26T23:00:00.000Z,401525450,passing,New Mexico State,Massachusetts,New Mexico State,Massachusetts,home,Favorite,0.958,-1.96,0.8129770992366412,0.007633587786259542,-7.7,-18.7,L,-7.7,44.1
2023,1,2023-09-01T00:00:00.000Z,401520176,passing,Utah,Florida,Utah,Florida,home,Favorite,1.0,0.087,0.9236641221374046,0.22900763358778625,-6.3,6.7,W,-6.3,45.5
2023,1,2023-09-02T16:00:00.000Z,401520160,passing,Liberty,Bowling Green,Liberty,Bowling Green,home,Favorite,0.98,0.087,0.8549618320610687,0.22900763358778625,-9.25,0.75,W,-9.25,49.375
2023,1,2023-09-02T16:00:00.000Z,401520162,passing,Michigan,East Carolina,Michigan,East Carolina,home,Favorite,0.936,0.016,0.7786259541984732,0.13740458015267176,-35.4,-8.399999999999999,L,-35.4,52.4
2023,1,2023-09-02T23:00:00.000Z,401525819,passing,Houston,UTSA,UTSA,Houston,away,Favorite,1.001,0.005,0.9580152671755725,0.12213740458015267,-1.5,-4.5,L,1.5,60.1
2023,1,2023-09-02T23:30:00.000Z,401520155,passing,Illinois,Toledo,Toledo,Illinois,away,Underdog,1.0,-0.007,0.9236641221374046,0.08396946564885496,8.6,6.6,W,-8.6,47.0
2023,2,2023-09-08T23:30:00.000Z,401520195,passing,Kansas,Illinois,Kansas,Illinois,home,Favorite,1.027,-0.007,0.9847328244274809,0.08396946564885496,-3.6666666666666665,7.333333333333334,W,-3.6666666666666665,57.166666666666664
2023,2,2023-09-09T19:30:00.000Z,401531395,passing,UTSA,Texas State,UTSA,Texas State,home,Favorite,1.001,0.028,0.9580152671755725,0.1450381679389313,-13.833333333333334,-6.833333333333334,L,-13.833333333333334,66.5
2023,2,2023-09-09T21:15:00.000Z,401525495,passing,North Carolina,App State,North Carolina,App State,home,Favorite,0.959,0.089,0.8244274809160306,0.24427480916030533,-19.0,-13.0,L,-19.0,58.0
2023,2,2023-09-09T23:00:00.000Z,401520206,passing,Missouri,Middle Tennessee,Missouri,Middle Tennessee,home,Favorite,0.984,0.029,0.8778625954198473,0.15267175572519084,-21.0,-17.0,L,-21.0,47.333333333333336
2023,2,2023-09-09T23:30:00.000Z,401520200,passing,Maryland,Charlotte,Maryland,Charlotte,home,Favorite,1.011,0.035,0.9770992366412213,0.16793893129770993,-24.5,-6.5,L,-24.5,50.166666666666664
2023,3,2023-09-15T23:00:00.000Z,401531396,passing,UTSA,Army,UTSA,Army,home,Favorite,1.001,-0.019,0.9580152671755725,0.07633587786259542,-7.0,-15.0,L,-7.0,41.75
2023,3,2023-09-16T22:00:00.000Z,401531403,passing,Charlotte,Georgia State,Georgia State,Charlotte,away,Favorite,1.0,0.035,0.9236641221374046,0.16793893129770993,-6.25,9.75,W,6.25,52.0
2023,3,2023-09-16T23:00:00.000Z,401520237,passing,Nebraska,Northern Illinois,Northern Illinois,Nebraska,away,Underdog,0.976,-0.063,0.8473282442748091,0.04580152671755725,11.5,-12.5,L,-11.5,42.75
2023,3,2023-09-16T23:30:00.000Z,401520232,passing,Michigan,Bowling Green,Michigan,Bowling Green,home,Favorite,0.936,0.087,0.7786259541984732,0.22900763358778625,-40.75,-15.75,L,-40.75,53.5
2023,3,2023-09-16T23:30:00.000Z,401520242,passing,Purdue,Syracuse,Syracuse,Purdue,away,Favorite,0.938,0.03,0.7862595419847328,0.16030534351145037,-1.0,14.0,W,1.0,56.5
2023,3,2023-09-16T23:30:00.000Z,401520228,passing,Kentucky,Akron,Akron,Kentucky,away,Underdog,0.952,-0.182,0.7938931297709924,0.022900763358778626,25.25,-6.75,L,-25.25,48.5
2023,3,2023-09-17T02:00:00.000Z,401524007,passing,Colorado,Colorado State,Colorado State,Colorado,away,Underdog,1.0,0.0,0.9236641221374046,0.10687022900763359,21.333333333333332,13.333333333333332,W,-21.333333333333332,63.25
2023,3,2023-09-17T02:30:00.000Z,401525837,passing,Nevada,Kansas,Kansas,Nevada,away,Favorite,1.027,-0.03,0.9847328244274809,0.05343511450381679,-28.5,-21.5,L,28.5,58.0
2023,4,2023-09-23T16:00:00.000Z,401520268,passing,Syracuse,Army,Syracuse,Army,home,Favorite,0.938,-0.019,0.7862595419847328,0.07633587786259542,-13.0,0.0,P,-13.0,50.166666666666664
2023,4,2023-09-23T19:30:00.000Z,401532405,passing,Bowling Green,Ohio,Ohio,Bowling Green,away,Favorite,1.0,0.087,0.9236641221374046,0.22900763358778625,-13.0,18.0,W,13.0,44.833333333333336
2023,4,2023-09-23T19:30:00.000Z,401525847,passing,Kansas,BYU,Kansas,BYU,home,Favorite,1.027,0.084,0.9847328244274809,0.20229007633587787,-9.333333333333334,1.666666666666666,W,-9.333333333333334,54.833333333333336
2023,4,2023-09-23T19:30:00.000Z,401524015,passing,Oregon,Colorado,Oregon,Colorado,home,Favorite,0.932,0.0,0.7633587786259542,0.10687022900763359,-21.0,15.0,W,-21.0,70.0
