team,conference,rank_post,combo_post,avg_total_wins_post,avg_conference_wins_post,make_title_game_pct_post,conference_title_pct_post,lose_title_game_pct_post,bowl_eligibility_pct_post,rank_pre,combo_pre,avg_total_wins_pre,avg_conference_wins_pre,make_title_game_pct_pre,conference_title_pct_pre,lose_title_game_pct_pre,bowl_eligibility_pct_pre,avg_total_wins_delta,avg_conference_wins_delta,make_title_game_pct_delta,conference_title_pct_delta
Delaware,CUSA,107,-10.7,4.5557,3.9147,0.0662,0.0277,0.0385,0.2458,107,-10.7,4.5911,3.9423,0.067,0.021,0.046,0.2546,-0.0354000000000001,-0.02760000000000007,-0.000800000000000009,0.006699999999999998
Bowling Green,MAC,120,-14.9,4.8912,4.4609,0.0923,0.0305,0.0618,0.3131,120,-14.9,4.8849,4.4553,0.0966,0.0314,0.0652,0.3137,0.006300000000000416,0.005599999999999383,-0.004300000000000012,-0.000899999999999998
South Alabama,Sun Belt,112,-11.5333,4.634,3.7603,0.0351,0.0104,0.0247,0.2693,112,-11.5333,4.6263,3.7442,0.0333,0.0096,0.0237,0.2719,0.007700000000000706,0.01609999999999978,0.001799999999999996,0.0008000000000000004
Ohio,MAC,108,-10.8333,5.5571,4.6793,0.146,0.0607,0.0853,0.5191,108,-10.8333,5.5301,4.6671,0.1285,0.0402,0.0884,0.5102,0.027000000000000135,0.012199999999999989,0.017499999999999988,0.020499999999999997
Florida International,CUSA,117,-13.7667,5.0455,4.215,0.0491,0.015,0.0341,0.3641,117,-13.7667,5.0619,4.2267,0.0472,0.0127,0.0345,0.3647,-0.01639999999999997,-0.011700000000000266,0.001899999999999999,0.0023
Coastal Carolina,Sun Belt,116,-13.2333,3.9921,3.179,0.0157,0.0047,0.011,0.1545,116,-13.2333,3.9833,3.1783,0.0175,0.0047,0.0127,0.1541,0.008800000000000363,0.0006999999999997009,-0.001800000000000003,0.0
Rice,American,119,-14.4333,2.7144,2.1962,0.0027,0.0004,0.0023,0.0271,119,-14.4333,2.7131,2.199,0.0026,0.0003,0.0023,0.026,0.0013000000000000789,-0.0027999999999996916,0.00010000000000000026,0.00010000000000000005
Eastern Michigan,MAC,122,-15.0667,5.1295,4.378,0.0845,0.0259,0.0586,0.3941,122,-15.0667,5.1187,4.3612,0.0783,0.0205,0.0578,0.3944,0.010800000000000587,0.016799999999999926,0.006200000000000011,0.0053999999999999986
San Jose State,MW,120,-14.9,3.4445,2.5686,0.0105,0.0013,0.0092,0.0729,120,-14.9,3.4524,2.5758,0.0123,0.0018,0.0105,0.0774,-0.007899999999999796,-0.007200000000000095,-0.0017999999999999995,-0.0005
New Mexico State,CUSA,125,-16.8333,3.7969,3.5764,0.0351,0.0087,0.0264,0.1092,125,-16.8333,3.7945,3.5754,0.0338,0.0081,0.0257,0.1063,0.0023999999999997357,0.0009999999999998899,0.0013000000000000025,0.0005999999999999998
UAB,American,126,-17.2667,3.0335,2.0369,0.001,0.0002,0.0008,0.0255,126,-17.2667,3.0145,2.0256,0.0007,0.0,0.0007,0.0233,0.019000000000000128,0.01130000000000031,0.00030000000000000003,0.0002
Northern Illinois,MW,128,-17.7667,2.6124,1.9522,0.0034,0.0003,0.0031,0.0124,128,-17.7667,2.6364,1.9716,0.0021,0.0002,0.0019,0.0116,-0.02400000000000002,-0.019400000000000084,0.0013,9.999999999999996e-05
Missouri State,CUSA,124,-15.9667,2.5212,2.3331,0.0031,0.0004,0.0027,0.008,124,-15.9667,2.5182,2.3311,0.0023,0.0003,0.0019,0.0078,0.0029999999999996696,0.0019999999999997797,0.0007999999999999999,0.00010000000000000005
Akron,MAC,129,-18.1,2.9365,2.8169,0.0075,0.0019,0.0056,0.0249,129,-18.1,2.9413,2.82,0.0094,0.002,0.0074,0.0261,-0.0047999999999999154,-0.0030999999999998806,-0.0019000000000000006,-0.00010000000000000005
Kent State,MAC,132,-20.0333,3.0836,2.9944,0.0105,0.002,0.0085,0.0352,132,-20.0333,3.0841,2.9976,0.0108,0.0022,0.0086,0.0324,-0.0004999999999997229,-0.0031999999999996476,-0.0002999999999999999,-0.0002000000000000001
UTEP,MW,130,-19.3667,2.0153,1.8029,0.0016,0.0001,0.0015,0.003,130,-19.3667,1.9935,1.7851,0.0009,0.0,0.0009,0.0025,0.02179999999999982,0.017800000000000038,0.0007000000000000001,0.0001
Sacramento State,MAC,127,-17.4333,3.2508,3.0457,0.0106,0.0029,0.0077,0.0516,127,-17.4333,3.259,3.0541,0.0102,0.0011,0.0091,0.0504,-0.008199999999999985,-0.008399999999999963,0.0003999999999999993,0.0017999999999999997
Southern Miss,Sun Belt,123,-15.3667,1.8291,1.5194,0.0003,0.0001,0.0002,0.0027,123,-15.3667,1.8127,1.5099,0.0003,0.0,0.0003,0.0021,0.01639999999999997,0.009500000000000064,0.0,0.0001
UL-Monroe,Sun Belt,134,-21.1333,1.8238,1.4397,0.0,0.0,0.0,0.0031,134,-21.1333,1.831,1.4494,0.0001,0.0,0.0001,0.0028,-0.007199999999999873,-0.009700000000000042,-0.0001,0.0
Georgia State,Sun Belt,131,-19.9,1.4174,0.9894,0.0,0.0,0.0,0.0007,131,-19.9,1.4103,0.9903,0.0,0.0,0.0,0.0006,0.007099999999999884,-0.0009000000000000119,0.0,0.0
Ball State,MAC,135,-21.8333,2.3442,2.3138,0.0019,0.0004,0.0015,0.0069,135,-21.8333,2.3423,2.3099,0.0021,0.0002,0.0019,0.0068,0.0019000000000000128,0.0039000000000002366,-0.00019999999999999987,0.0002
Middle Tennessee,CUSA,133,-21.0,1.3954,1.1962,0.0,0.0,0.0,0.0004,133,-21.0,1.4022,1.2011,0.0001,0.0,0.0,0.0004,-0.006799999999999917,-0.0049000000000001265,-0.0001,0.0
Sam Houston,CUSA,136,-22.9333,1.4027,1.3094,0.0001,0.0,0.0001,0.0002,136,-22.9333,1.3851,1.2907,0.0001,0.0,0.0001,0.0001,0.01760000000000006,0.01869999999999994,0.0,0.0
Massachusetts,MAC,138,-26.0667,1.2923,1.2244,0.0,0.0,0.0,0.0,138,-26.0667,1.2934,1.2252,0.0,0.0,0.0,0.0003,-0.001100000000000101,-0.0008000000000001339,0.0,0.0
Charlotte,American,137,-23.4333,0.4092,0.2914,0.0,0.0,0.0,0.0,137,-23.4333,0.4094,0.2913,0.0,0.0,0.0,0.0,-0.00019999999999997797,9.999999999998899e-05,0.0,0.0
