game_id,week,away_team,home_team,model_id,availability_status,present_components,required_components,provider_range,provider_stddev
g221,3,Nevada,Middle Tennessee,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,11.000000000000002,4.291942305064223
g222,3,Akron,Minnesota,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,8.5,3.248771883342996
g223,3,Troy,Missouri,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.5,1.3040969097425243
g224,3,Marshall,Missouri State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,10.799999999999999,4.138444001070934
g226,3,Colorado,Northwestern,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,11.46,4.306193214429655
g227,3,Michigan State,Notre Dame,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,8.02999999999999,2.8404962154525006
g228,3,Kent State,Ohio State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,7.799999999999997,3.0865383117661107
g229,3,New Mexico,Oklahoma,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,6.400000000000002,2.326730538760345
g231,3,East Carolina,Old Dominion,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.110000000000003,2.14953919480432
g232,3,LSU,Ole Miss,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,12.259999999999991,4.946885383754101
g235,3,Buffalo,Penn State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,8.399999999999999,3.5677829250109934
g236,3,Western Michigan,Rice,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,11.999999999999991,4.83754844936978
g237,3,USC,Rutgers,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,8.200000000000005,3.002082610455617
g238,3,North Dakota State,Sacramento State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,19.2,7.713019431454843
g240,3,James Madison,San Diego State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,15.26,6.189077071745027
g241,3,Fresno State,San Jose State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.100000000000001,1.880478662468682
g242,3,Ohio,South Alabama,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,7.090000000000005,2.8590240904896222
g243,3,Mississippi State,South Carolina,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,2.400000000000002,0.9296067717051132
g245,3,Connecticut,Southern Miss,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,18.200000000000003,6.6581092473764665
g246,3,Arkansas State,TCU,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.8000000000000007,1.3468180092351012
g247,3,Kennesaw State,Tennessee,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,6.899999999999999,2.6614469748616063
g248,3,UTSA,Texas,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,17.889999999999993,6.883278197922845
g249,3,Kentucky,Texas A&M,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.1200000000000045,1.197372122608508
g250,3,North Texas,Texas State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,12.540000000000004,4.9646424846105495
g251,3,Temple,Toledo,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,18.19,6.640445674049296
g253,3,Purdue,UCLA,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,8.9,3.488524043202224
g255,3,Utah State,Utah,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.839999999999993,2.321271203457276
g256,3,NC State,Vanderbilt,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.4199999999999946,1.2124664943824202
g259,3,Virginia,West Virginia,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,9.200000000000005,3.523049105533446
g260,3,Eastern Michigan,Wisconsin,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.5,2.045609627959353
g261,4,Liberty,Coastal Carolina,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.449999999999998,1.3263554387870542
g262,4,Clemson,California,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,6.359999999999994,2.5497646950257957
g263,4,Navy,UAB,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,4.400000000000002,1.778784697483088
g264,4,UNLV,Akron,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.200000000000001,2.0869280653630575
g265,4,South Carolina,Alabama,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.3000000000000025,1.2100490692529797
g266,4,Tulsa,Arkansas,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,9.370000000000001,3.697826219551157
g267,4,Kennesaw State,Arkansas State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.399999999999998,1.3547947261485778
g268,4,Vanderbilt,Auburn,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,7.449999999999994,2.9292437163882394
g269,4,Colorado,Baylor,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,4.219999999999999,1.75073555970055
g270,4,Virginia Tech,Boston College,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,12.460000000000003,4.565487378144859
g271,4,South Florida,Bowling Green,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,13.07999999999999,4.939845645361802
g273,4,TCU,Central Florida,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.949999999999999,2.285928421889014
g274,4,Louisiana,Charlotte,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,16.999999999999996,6.1436959560186555
g275,4,Kansas State,Cincinnati,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,9.2,3.2826009123863966
g279,4,Ole Miss,Florida,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,8.309999999999988,3.159037630355164
g282,4,Rice,Fresno State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,7.169999999999995,3.0546552587812577
g283,4,Oklahoma,Georgia,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.4700000000000024,1.2468635651104745
g284,4,Houston,Georgia Southern,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,8.429999999999998,3.12452696419794
g285,4,Northern Illinois,Georgia State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,8.100000000000005,3.002082610455617
g286,4,Northwestern,Indiana,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.039999999999999,2.0066576688613327
g287,4,Utah,Iowa State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.3999999999999986,1.316156810566278
g288,4,Middle Tennessee,Jacksonville State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,10.7,4.216856056352884
g289,4,Ball State,Kent State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.779999999999996,2.3490849282220494
g290,4,South Alabama,Kentucky,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,4.530000000000001,1.7215309320485657
g291,4,Texas A&M,LSU,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,6.519999999999996,2.731679886077428
g292,4,Wake Forest,Louisville,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.200000000000001,1.9525416128728217
g294,4,UCLA,Maryland,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.799999999999999,2.130731975167219
