snapshot_date,season,source,team,raw_team,rank,rating,off_rating,def_rating,sos,source_url,pulled_at,notes
2026-05-12,2026,Sagarin,Furman AA,Furman AA,209.0,43.14,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Samford AA,Samford AA,238.0,36.14,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,VMI AA,VMI AA,260.0,26.74,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Stephen F. Austin AA,Stephen F. Austin AA,100.0,61.99,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,SE Louisiana AA,SE Louisiana AA,133.0,55.85,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,UTRGV AA,UTRGV AA,156.0,51.17,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Incarnate Word AA,Incarnate Word AA,162.0,50.57,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Lamar AA,Lamar AA,174.0,49.47,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Nicholls State AA,Nicholls State AA,198.0,45.34,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,McNeese State AA,McNeese State AA,202.0,44.55,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,East Texas A&M AA,East Texas A&M AA,228.0,38.58,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Houston Christian AA,Houston Christian AA,252.0,32.06,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Northwestern State AA,Northwestern State AA,261.0,26.34,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Alabama State AA,Alabama State AA,153.0,52.25,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Jackson State AA,Jackson State AA,168.0,50.16,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Bethune-Cookman AA,Bethune-Cookman AA,226.0,38.79,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Florida A&M AA,Florida A&M AA,248.0,33.96,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Alabama A&M AA,Alabama A&M AA,253.0,31.78,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Miss. Valley State AA,Miss. Valley State AA,263.0,25.01,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Prairie View A&M AA,Prairie View A&M AA,169.0,50.05,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Alcorn State AA,Alcorn State AA,224.0,38.98,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Texas Southern AA,Texas Southern AA,230.0,38.25,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Grambling State AA,Grambling State AA,231.0,37.83,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Southern U. AA,Southern U. AA,255.0,30.15,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
2026-05-12,2026,Sagarin,Ark.-Pine Bluff AA,Ark.-Pine Bluff AA,256.0,29.53,,,,https://sagarin.com/sports/cfsend.htm,2026-05-12T19:10:33Z,preformatted_text_parse
