flag,reason,game_id,cfbd_game_id,week,date,away_team,home_team,neutral_site,away_power,home_power,home_hfa,hfa_used,stored_projected_margin_home,expected_margin_home,projection_diff_pts,stored_projected_spread,expected_projected_spread,market_spread,projected_total,market_total
OK,,g335,401858476,5,2026-10-02,Penn State,Northwestern,False,15.2995,4.0345,2.1,2.1,-9.165,-9.165000000000001,1.7763568394002505e-15,Penn State -9.2,Penn State -9.2,,48.55,
OK,,g338,401856820,5,2026-10-03,Cincinnati,Arizona,False,3.852,9.372,2.7,2.7,8.22,8.219999999999999,1.7763568394002505e-15,Arizona -8.2,Arizona -8.2,,53.65,
OK,,g341,401860898,5,2026-10-03,Utah State,Boise State,False,-5.8705,5.2095,2.8,2.8,13.88,13.879999999999999,1.7763568394002505e-15,Boise State -13.9,Boise State -13.9,,53.65,
OK,,g352,401856705,5,2026-10-03,Vanderbilt,Georgia,False,11.8245,25.3895,1.8,1.8,15.365,15.365000000000002,-1.7763568394002505e-15,Georgia -15.4,Georgia -15.4,,54.5,
OK,,g355,401856819,5,2026-10-03,Central Florida,Houston,False,1.862,8.382,1.7,1.7,8.22,8.219999999999999,1.7763568394002505e-15,Houston -8.2,Houston -8.2,,50.35,
OK,,g356,401858472,5,2026-10-03,Purdue,Illinois,False,-2.558,9.0895,1.5,1.5,13.1475,13.147499999999999,1.7763568394002505e-15,Illinois -13.1,Illinois -13.1,,52.7,
OK,,g361,401866434,5,2026-10-03,Ohio,Kent State,False,-9.1155,-20.008,2.1,2.1,-8.7925,-8.792499999999999,-1.7763568394002505e-15,Ohio -8.8,Ohio -8.8,,45.45,
OK,,g365,401866433,5,2026-10-03,Eastern Michigan,Massachusetts,False,-15.303,-27.9655,1.6,1.6,-11.0625,-11.062499999999998,-1.7763568394002505e-15,Eastern Michigan -11.1,Eastern Michigan -11.1,,50.15,
OK,,g366,401866477,5,2026-10-03,Bowling Green,Miami-OH,False,-15.4455,-7.6355,2.7,2.7,10.51,10.509999999999998,1.7763568394002505e-15,Miami-OH -10.5,Miami-OH -10.5,,42.75,
OK,,g368,401856707,5,2026-10-03,Alabama,Mississippi State,False,19.527,5.4545,2.6,2.6,-11.4725,-11.472500000000002,1.7763568394002505e-15,Alabama -11.5,Alabama -11.5,,50.35,
OK,,g375,401862788,5,2026-10-03,UTSA,Rice,False,-2.288,-15.1505,2.9,2.9,-9.9625,-9.962499999999999,-1.7763568394002505e-15,UTSA -10,UTSA -10,,54.95,
OK,,g381,401862792,5,2026-10-03,Temple,South Florida,False,-9.5155,0.7595,2.6,2.6,12.875,12.874999999999998,1.7763568394002505e-15,South Florida -12.9,South Florida -12.9,,58.55,
OK,,g387,401858478,5,2026-10-03,Washington,USC,False,13.6645,17.9595,2.4,2.4,6.695,6.6949999999999985,1.7763568394002505e-15,USC -6.7,USC -6.7,,54.1,
OK,,g398,401856826,6,2026-10-09,Iowa State,BYU,False,2.057,14.1595,2.1,2.1,14.2025,14.202499999999999,1.7763568394002505e-15,BYU -14.2,BYU -14.2,,48.35,
